,Data ora,Anno,Mese,Giorno,Ora,PDMM,PDMF
97,2021-01-05 01:00:00.475,2021,1,5,1,0.0008838163534314951,0.002198160667650948
98,2021-01-05 02:00:00.480,2021,1,5,2,0.0007946723507572549,0.0019764484989694326
99,2021-01-05 03:00:00.485,2021,1,5,3,0.0007542900371635136,0.0018760126866359504
100,2021-01-05 04:00:00.490,2021,1,5,4,0.0007494819867322517,0.0018640544700844603
101,2021-01-05 05:00:00.495,2021,1,5,5,0.0008110345293650855,0.0020171432624383014
102,2021-01-05 06:00:00.500,2021,1,5,6,0.0010063499887455476,0.002502916985596261
103,2021-01-05 07:00:00.505,2021,1,5,7,0.0012949907234722244,0.004481042187302124
104,2021-01-05 08:00:00.510,2021,1,5,8,0.0013854129220423964,0.004484466687009666
105,2021-01-05 09:00:00.515,2021,1,5,9,0.0014203965422909914,0.004597705763316636
106,2021-01-05 10:00:00.520,2021,1,5,10,0.001400031513372415,0.0045317858543044475
107,2021-01-05 11:00:00.525,2021,1,5,11,0.0014000541147060886,0.004531859012946416
108,2021-01-05 12:00:00.530,2021,1,5,12,0.0014465508932887071,0.004682365227584304
109,2021-01-05 13:00:00.535,2021,1,5,13,0.0014577931226813085,0.004718755391409627
110,2021-01-05 14:00:00.540,2021,1,5,14,0.00144904273382688,0.004690431108669275
111,2021-01-05 15:00:00.545,2021,1,5,15,0.0014169582000442922,0.004586576134728265
112,2021-01-05 16:00:00.550,2021,1,5,16,0.001440133561525222,0.004661592857083809
113,2021-01-05 17:00:00.555,2021,1,5,17,0.0016313248357102794,0.0052804631493183025
114,2021-01-05 18:00:00.560,2021,1,5,18,0.0018120877670627755,0.00586557776099772
115,2021-01-05 19:00:00.565,2021,1,5,19,0.0019638750759083897,0.006795575370718403
116,2021-01-05 20:00:00.570,2021,1,5,20,0.0019635278431053642,0.006794373844861137
117,2021-01-05 21:00:00.575,2021,1,5,21,0.0018402291450255624,0.006367724713156472
118,2021-01-05 22:00:00.580,2021,1,5,22,0.0015913051087074793,0.005506375602342722
119,2021-01-05 23:00:00.585,2021,1,5,23,0.001296097882585488,0.0032235558618750157
120,2021-01-06 00:00:00.590,2021,1,6,0,0.0010486072845780176,0.002608016110838263
121,2021-01-06 01:00:00.595,2021,1,6,1,0.0008838163534314951,0.002198160667650948
122,2021-01-06 02:00:00.600,2021,1,6,2,0.0007946723507572549,0.0019764484989694326
123,2021-01-06 03:00:00.605,2021,1,6,3,0.0007542900371635136,0.0018760126866359504
124,2021-01-06 04:00:00.610,2021,1,6,4,0.0007494819867322517,0.0018640544700844603
125,2021-01-06 05:00:00.615,2021,1,6,5,0.0008110345293650855,0.0020171432624383014
126,2021-01-06 06:00:00.620,2021,1,6,6,0.0010063499887455476,0.002502916985596261
127,2021-01-06 07:00:00.625,2021,1,6,7,0.0012949907234722244,0.0032208022201188316
128,2021-01-06 08:00:00.630,2021,1,6,8,0.0013854129220423964,0.0034456934202055497
129,2021-01-06 09:00:00.635,2021,1,6,9,0.0014203965422909914,0.0035327020139523497
130,2021-01-06 10:00:00.640,2021,1,6,10,0.001400031513372415,0.0034820516662974524
131,2021-01-06 11:00:00.645,2021,1,6,11,0.0014000541147060886,0.0034821078786118373
132,2021-01-06 12:00:00.650,2021,1,6,12,0.0014465508932887071,0.0035977511222064574
133,2021-01-06 13:00:00.655,2021,1,6,13,0.0014577931226813085,0.0036257119382420264
134,2021-01-06 14:00:00.660,2021,1,6,14,0.00144904273382688,0.0036039486380589334
